Reference,Assay,Assay
20160060,Positive,
20160060,Positive,
20160060,Positive,
20160060,Positive,
20160060,Positive,
20160060,Positive,
20160060,Positive,
20160060,Positive,
20160060,Positive,
20160060,Positive,
20160060,Positive,
20160060,Positive,27
20160060,Positive,
20802151,Positive,
20802151,Positive,
20802151,Positive,
20802151,Positive,
20802151,Positive,
20802151,Positive,
20802151,Positive,
20802151,Positive,
20802151,Positive,
20802151,Positive,
20802151,Positive,
20802151,Positive,
10605027,Positive,
10605027,Positive,
11290755,Positive,
11290755,Positive,
11290755,Positive,
9190931,Positive,
11290755,Positive,
10958352,Positive,
10958352,Positive,
10958352,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
19604317,Positive,
18299450,Positive,
18299450,Positive,
18299450,Positive,
18299450,Positive,
9920851,Positive,
10570294,Positive,
10570294,Positive,
15755990,Positive,
15755990,Positive,
15755990,Positive,
15755990,Positive,
15755990,Positive,
15755990,Positive,
20615947,Positive,
20615947,Positive,
20483723,Positive,
20483723,Positive,
20483723,Positive,
20483723,Positive,
20483723,Positive,
20483723,Positive,
20483723,Positive,
20668669,Positive,9
20668669,Positive,7
20668669,Positive,3
20668669,Positive,3
15557202,Positive,
15557202,Positive,
15557202,Positive,
15557202,Positive,
15557202,Positive,
15557202,Positive,
20483723,Positive,
20483723,Positive,
20483723,Positive,
20483723,Positive,
20483723,Positive,
20543110,Positive,26
20543110,Positive,14
20543110,Positive,
20543110,Positive,
20543110,Positive,
20543110,Positive,
20543110,Positive,
20543110,Positive,
17530010,Positive,
17530010,Positive,
17530010,Positive,
17530010,Positive,
17530010,Positive,
17530010,Positive,
17530010,Positive,
17530010,Positive,
17530010,Positive,
17530010,Positive,
17530010,Positive,
17530010,Positive,
11342555,Positive,
19524620,Positive,
17496542,Positive,
17496542,Positive,
17496542,Positive,
17496542,Positive,
16391015,Positive,
16391015,Positive,
16822283,Positive,
16822283,Positive,
16822283,Positive,
16822283,Positive,
16822283,Positive,
16822283,Positive,
16822283,Positive,
16822283,Positive,
17409267,Positive,
17409267,Positive,
17409267,Positive,
17409267,Positive,
17409267,Positive,
17409267,Positive,
17409267,Positive,
17409267,Positive,
15239629,Positive,6
15239629,Positive,6
16960008,Positive,
16960008,Positive,
16960008,Positive,
16960008,Positive,
16960008,Positive,
18698046,Positive,
18698046,Positive,
18698046,Positive,
18698046,Positive,
18698046,Positive,
20483993,Positive,
20615877,Positive,6
20615877,Positive,6
20615877,Positive,6
20615877,Positive,6
20615877,Positive,6
20615877,Positive,6
20615877,Positive,6
20615877,Positive,6
20615877,Positive,6
20615877,Positive,6
20615877,Positive,
20615877,Positive,
20615877,Positive,
20738423,Positive,
20738423,Positive,
20738423,Positive,
20738423,Positive,
20738423,Positive,
20483993,Positive,
20483993,Positive,
16455990,Positive,9
16455990,Positive,11
16455990,Positive,7
16455990,Positive,
16455990,Positive,
16455990,Positive,
16455990,Positive,
20483993,Positive,
20483993,Positive,
20483993,Positive,
16455990,Positive,
20483993,Positive,
20483993,Positive,
20483993,Positive,
20844028,Positive,
20844028,Positive,
20844028,Positive,
20844028,Positive,
16822283,Positive,
16822283,Positive,
21160049,Positive,
21160049,Positive,
21160049,Positive,
21160049,Positive,
21160049,Positive,
21160049,Positive,
21160049,Positive,
21160049,Positive,
21160049,Positive,
21160049,Positive,
21160049,Positive,
21160049,Positive,
21160049,Positive,
21160049,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
21095258,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
14764717,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20421879,Positive,
20722762,Positive,
20722762,Positive,
20722762,Positive,
20722762,Positive,
20722762,Positive,
20719985,Positive,4
20711433,Positive,
20711433,Positive,
20711433,Positive,
20711433,Positive,
20711433,Positive,
20711433,Positive,
20711433,Positive,
20711433,Positive,
20711433,Positive,
20711433,Positive,
20711433,Positive,
20711433,Positive,
20711433,Positive,
20961593,Positive,29
20961593,Positive,29
18768532,Positive,
18768532,Positive,
18768532,Positive,
18768532,Positive,
18768532,Positive,
18768532,Positive,
18768532,Positive,
18768532,Positive,
18768532,Positive,
18768532,Positive,
18768532,Positive,
20831383,Positive,3
20831383,Positive,3
20831383,Positive,3
20831383,Positive,3
16034111,Positive,3
16034111,Positive,1
16034111,Positive,3
16034111,Positive,1
16034111,Positive,1
16034111,Positive,3
16034111,Positive,1
16034111,Positive,3
16034111,Positive,1
16034111,Positive,1
20844564,Positive,6
20844564,Positive,
9461441,Positive,
20844564,Positive,
20844564,Positive,
9461441,Positive,
8921955,Positive,
7539551,Positive,
7539551,Positive,
7539551,Positive,
21129215,Positive,4
21129215,Positive,4
21129215,Positive,4
16034111,Positive,1
10586024,Positive,
21169544,Positive,10
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
21169544,Positive,10
21169544,Positive,10
21169544,Positive,10
21169544,Positive,10
21169544,Positive,10
21169544,Positive,10
21169544,Positive,10
21169544,Positive,10
21169544,Positive,10
21169544,Positive,10
21169544,Positive,10
21169544,Positive,10
21169544,Positive,10
17517179,Positive,
17517179,Positive,
9075928,Positive,
9075928,Positive,
9075928,Positive,
9075928,Positive,
21084459,Positive,8
21084459,Positive,8
21084459,Positive,7
21084459,Positive,8
21084459,Positive,8
10586024,Positive,
15031203,Positive,
15031203,Positive,
15031203,Positive,
15031203,Positive,
15031203,Positive,
15031203,Positive,
15031203,Positive,
15031203,Positive,
15031203,Positive,
15031203,Positive,
15031203,Positive,
15031203,Positive,
15031203,Positive,
15031203,Positive,
15031203,Positive,
14670917,Positive,
14670917,Positive,
14670917,Positive,
14670917,Positive,
14670917,Positive,
14670917,Positive,
14670917,Positive,
14670917,Positive,
14670917,Positive,
14670917,Positive,
14670917,Positive,
14670917,Positive,
14670917,Positive,
14724439,Positive,4
14724439,Positive,4
11148223,Positive,
11148223,Positive,
11148223,Positive,
11148223,Positive,
14729650,Positive,
14729650,Positive,
14729650,Positive,
14729650,Positive,
14729650,Positive,
14729650,Positive,
14871250,Positive,
14871250,Positive,
14871250,Positive,
14871250,Positive,
12234166,Positive,
12234166,Positive,
12234166,Positive,6
12234166,Positive,6
12234166,Positive,6
12234166,Positive,2
10852379,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
9798702,Positive,
9798702,Positive,
9820524,Positive,
9820524,Positive,
9820524,Positive,
9820524,Positive,
10395333,Positive,
10395333,Positive,
10395333,Positive,
10395333,Positive,
11807003,Positive,
11807003,Positive,
11807003,Positive,
12576337,Positive,
12576337,Positive,
12576337,Positive,
12576337,Positive,
12576337,Positive,
12576337,Positive,
12576337,Positive,
12576337,Positive,
,Positive,
12374455,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
21216868,Positive,23
21216868,Positive,
21216868,Positive,
21216868,Positive,
21216868,Positive,
21056495,Positive,19
21056495,Positive,19
21056495,Positive,19
21056495,Positive,19
21056495,Positive,19
21056495,Positive,8
21056495,Positive,
21093097,Positive,
21093097,Positive,
21093097,Positive,
10868622,Positive,9
21242884,Positive,
21242884,Positive,
21242884,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
20719985,Positive,
11861290,Positive,
11861290,Positive,
11861290,Positive,
11861290,Positive,
11067925,Positive,
21124993,Positive,
15096539,Positive,
15096539,Positive,
15096539,Positive,
15096539,Positive,
15096539,Positive,
15096539,Positive,
15096539,Positive,
15096539,Positive,
15096539,Positive,
15096539,Positive,
15096539,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
20156506,Positive,
21536322,Positive,
21536322,Positive,
21536322,Positive,
21536322,Positive,
21536322,Positive,
21124993,Positive,
21585633,Positive,
21585633,Positive,
21585633,Positive,
21585633,Positive,
21585633,Positive,
21367907,Positive,19
21367907,Positive,20
21367907,Positive,
21562214,Positive,1
21562214,Positive,2
21562214,Positive,1
21562214,Positive,5
21562214,Positive,1
21562214,Positive,1
21389867,Positive,
21389867,Positive,
20002212,Positive,13
20002212,Positive,13
20002212,Positive,13
20002212,Positive,13
20002212,Positive,14
20002212,Positive,14
20002212,Positive,14
20002212,Positive,14
20002212,Positive,14
20002212,Positive,14
20002212,Positive,14
20002212,Positive,14
20002212,Positive,14
20002212,Positive,14
20002212,Positive,14
20002212,Positive,14
21389867,Positive,
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
20856867,Positive,11
21668362,Positive,14
21668362,Positive,13
21668362,Positive,14
21668362,Positive,14
21668362,Positive,
21668362,Positive,
20856867,Positive,7
20856867,Positive,7
20856867,Positive,7
20856867,Positive,7
20856867,Positive,11
20856867,Positive,7
20856867,Positive,7
20856867,Positive,7
20856867,Positive,11
21535873,Positive,
21535873,Positive,
21535873,Positive,
21535873,Positive,
20856867,Positive,7
20856867,Positive,7
21562214,Positive,5
21562214,Positive,5
21562214,Positive,5
21562214,Positive,5
21562214,Positive,5
21562214,Positive,5
21502079,Positive,
21502079,Positive,
21502079,Positive,
21502079,Positive,
21562214,Positive,1
21562214,Positive,1
21562214,Positive,2
21562214,Positive,
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,21
21550027,Positive,3
21550027,Positive,3
21550027,Positive,3
21550027,Positive,21
21550027,Positive,21
20735847,Positive,5
20735847,Positive,5
20735847,Positive,5
20735847,Positive,5
20735847,Positive,5
20735847,Positive,5
20735847,Positive,5
20735847,Positive,5
20735847,Positive,5
20735847,Positive,5
20735847,Positive,5
20735847,Positive,5
20735847,Positive,5
20735847,Positive,5
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
20347630,Positive,
21738624,Positive,4
20064447,Positive,
15529349,Positive,3
16481078,Positive,10
21282516,Positive,
21282516,Positive,
21282516,Positive,
21332943,Positive,10
21332943,Positive,
20064447,Positive,
8557329,Positive,
8557329,Positive,
8557329,Positive,
8557329,Positive,
8557329,Positive,
8557329,Positive,
8557329,Positive,
8557329,Positive,
21860612,Positive,
21886854,Positive,
21886854,Positive,
21756938,Positive,7
21756938,Positive,
21264872,Positive,34
21264872,Positive,17
21264872,Positive,36
21264872,Positive,18
21264872,Positive,22
21264872,Positive,11
21264872,Positive,24
21264872,Positive,22
21264872,Positive,10
21264872,Positive,26
21264872,Positive,13
21264872,Positive,22
21264872,Positive,10
21264872,Positive,10
21264872,Positive,22
21264872,Positive,10
21264872,Positive,35
21264872,Positive,15
21264872,Positive,35
21264872,Positive,15
21264872,Positive,35
21264872,Positive,15
21264872,Positive,22
21264872,Positive,32
21264872,Positive,16
21264872,Positive,5
21264872,Positive,5
21264872,Positive,5
10790425,Positive,1
21756938,Positive,7
10790425,Positive,36
10790425,Positive,36
10790425,Positive,34
10790425,Positive,18
21813600,Positive,16
21813600,Positive,
21813600,Positive,
21813600,Positive,
21813600,Positive,
21813600,Positive,
21813600,Positive,
19307587,Positive,
1379681,Positive,
12356679,Positive,
12356679,Positive,
21728172,Positive,
21728172,Positive,
21728172,Positive,
21728172,Positive,
21728172,Positive,
21728172,Positive,
21728172,Positive,
21728172,Positive,
21728172,Positive,
21728172,Positive,
21728172,Positive,
21728172,Positive,
21728172,Positive,
21728172,Positive,
21728172,Positive,
20053942,Positive,
20053942,Positive,
20053942,Positive,
20053942,Positive,
20053942,Positive,
20053942,Positive,
20053942,Positive,
20053942,Positive,
20053942,Positive,
21704723,Positive,12
21704723,Positive,12
21704723,Positive,12
21704723,Positive,12
21704723,Positive,12
21704723,Positive,12
21807054,Positive,
21807054,Positive,
21807054,Positive,
21807054,Positive,
21807054,Positive,
21807054,Positive,
21807054,Positive,
21807054,Positive,
9725236,Positive,3
9725236,Positive,1
11270597,Positive,1
11270597,Positive,1
11270597,Positive,1
11270597,Positive,1
16301664,Positive,
7693974,Positive,
11220618,Positive,7
19605354,Positive,
19605354,Positive,
22006856,Positive,
21453202,Positive,
22069251,Positive,35
22069251,Positive,35
22069251,Positive,35
22069251,Positive,35
22069251,Positive,34
22069251,Positive,35
22069251,Positive,35
22069251,Positive,35
22069251,Positive,35
22069251,Positive,35
22069251,Positive,35
11241274,Positive,
11241274,Positive,3
11241274,Positive,4
11241274,Positive,2
11241274,Positive,4
11241274,Positive,3
11241274,Positive,3
11241274,Positive,2
21998398,Positive,49
21998398,Positive,49
21998398,Positive,49
21998398,Positive,49
21998398,Positive,49
21998398,Positive,49
21998398,Positive,49
21998398,Positive,49
21998398,Positive,1
21998398,Positive,1
21998398,Positive,1
21998398,Positive,1
21998398,Positive,1
21998398,Positive,1
21998398,Positive,1
21998398,Positive,1
21998398,Positive,1
21998398,Positive,1
21992180,Positive,16
21992180,Positive,
21992180,Positive,
21992180,Positive,
21992180,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21972290,Positive,
21883919,Positive,26
21883919,Positive,20
21883919,Positive,21
21883919,Positive,20
21883919,Positive,
21883919,Positive,
21883919,Positive,
21883919,Positive,
21883919,Positive,
21883919,Positive,
21883919,Positive,
21883919,Positive,
21883919,Positive,
21883919,Positive,
21883919,Positive,
21883919,Positive,
21883919,Positive,
21883919,Positive,
22235280,Positive,1
22235280,Positive,1
22235280,Positive,1
22235280,Positive,1
22044339,Positive,4
22044339,Positive,3
22044339,Positive,5
22044339,Positive,3
22044339,Positive,6
22197248,Positive,2
22197248,Positive,2
17719062,Positive,4
17719062,Positive,
15837811,Positive,
15837811,Positive,
15837811,Positive,
15837811,Positive,
15837811,Positive,
,Positive,11
,Positive,11
,Positive,11
17644531,Positive,
15814707,Positive,
22027386,Positive,4
22027386,Positive,4
,Positive,11
,Positive,11
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22218690,Positive,6
21441962,Positive,
21441962,Positive,4
22218690,Positive,
22218690,Positive,4
21441962,Positive,
21441962,Positive,
22218690,Positive,
22218690,Positive,
22218690,Positive,1
22218690,Positive,2
22218690,Positive,
22218690,Positive,
22218690,Positive,
21441962,Positive,
21441962,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,
22355570,Positive,4
22355570,Positive,4
22355570,Positive,4
22355570,Positive,4
22355570,Positive,4
22355570,Positive,1
22355570,Positive,1
22355570,Positive,4
22355570,Positive,4
22355570,Positive,4
22140258,Positive,
22140258,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
22246683,Positive,
12475762,Positive,
22311355,Positive,
22311355,Positive,
22311355,Positive,
22311355,Positive,
22311355,Positive,
22402037,Positive,
22402037,Positive,
22402037,Positive,
22323539,Positive,23
22323539,Positive,2
22323539,Positive,4
22245737,Positive,
22245737,Positive,
22245737,Positive,
22245737,Positive,
22130159,Positive,2
22130159,Positive,4
22130159,Positive,4
22130159,Positive,2
22130159,Positive,2
22130159,Positive,3
22130159,Positive,4
22130159,Positive,3
22130159,Positive,2
22160697,Positive,
22160697,Positive,
22160697,Positive,
22160697,Positive,
22160697,Positive,
22032938,Positive,4
22032938,Positive,4
22032938,Positive,4
22032938,Positive,4
22032938,Positive,4
22032938,Positive,4
22444511,Positive,
22444511,Positive,
22444511,Positive,
22444511,Positive,
22444511,Positive,
22480777,Positive,
22480777,Positive,
22480777,Positive,
22480777,Positive,
22480777,Positive,
22480777,Positive,
22480777,Positive,
22140258,Positive,
9432985,Positive,
9432985,Positive,
9432985,Positive,
9432985,Positive,
9432985,Positive,
9432985,Positive,
9432985,Positive,
9432985,Positive,
21551190,Positive,8
21551190,Positive,8
21551190,Positive,8
21551190,Positive,10
,Positive,38
,Positive,38
,Positive,38
,Positive,38
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,9
,Positive,9
,Positive,9
,Positive,9
,Positive,1
,Positive,9
,Positive,20
,Positive,20
,Positive,20
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,50
,Positive,70
,Positive,70
,Positive,70
,Positive,70
,Positive,70
,Positive,70
,Positive,70
,Positive,70
,Positive,70
,Positive,70
,Positive,70
,Positive,70
,Positive,10
,Positive,10
,Positive,10
,Positive,10
,Positive,9
,Positive,85
,Positive,85
,Positive,85
,Positive,85
,Positive,85
,Positive,85
,Positive,85
,Positive,85
,Positive,85
,Positive,85
,Positive,24
,Positive,24
,Positive,24
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,42
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,61
,Positive,48
,Positive,48
,Positive,48
,Positive,48
,Positive,48
,Positive,48
,Positive,48
,Positive,48
,Positive,48
,Positive,48
