Reference,Assay,Assay
15514011,Positive,12
15496958,Positive,
9647214,Positive,1
1607654,Positive,
7542549,Positive,1
7691936,Positive,
8837608,Positive,17
9725236,Positive,1
11160752,Positive,
2126195,Positive,2
3264322,Positive,
7531143,Positive,
8617300,Positive,6
10488697,Positive,5
11012976,Positive,17
11084618,Positive,31
11241274,Positive,
11961268,Positive,7
10930688,Positive,1
10930688,Positive,1
7529284,Positive,
9502585,Positive,
9502585,Positive,
9502585,Positive,
9502585,Positive,
8617300,Positive,6
8617300,Positive,6
8617300,Positive,6
8617300,Positive,6
8617300,Positive,6
12796775,Positive,
9647225,Positive,
9647225,Positive,
9647225,Positive,
9647225,Positive,
9647225,Positive,
9647225,Positive,
7889404,Positive,
7889404,Positive,
7889404,Positive,
7889404,Positive,
11084618,Positive,31
2088485,Positive,
2088485,Positive,
2088485,Positive,
2126195,Positive,1
9366399,Positive,4
9366399,Positive,4
9366399,Positive,2
9366399,Positive,6
9366399,Positive,4
9366399,Positive,2
9366399,Positive,4
9366399,Positive,4
7523137,Positive,6
11150533,Positive,4
1721637,Positive,
1721637,Positive,
7547687,Positive,4
7547687,Positive,4
1607654,Positive,
1607654,Positive,
2553813,Positive,
2553813,Positive,
1331239,Positive,
16301748,Positive,8
16301748,Positive,8
16301748,Positive,12
16301748,Positive,12
9815676,Positive,25
9815676,Positive,12
7525458,Positive,
11689620,Positive,20
11689620,Positive,15
11689620,Positive,
11689620,Positive,5
11689620,Positive,
11689620,Positive,
11689620,Positive,
11689620,Positive,
11689620,Positive,5
11689620,Positive,5
11689620,Positive,
11689620,Positive,
11689620,Positive,
11689620,Positive,
11689620,Positive,
7814635,Positive,
7814635,Positive,
7814635,Positive,
9725236,Positive,4
9725236,Positive,2
11592365,Positive,5
11592365,Positive,2
8564975,Positive,32
8564975,Positive,2
8564975,Positive,22
8564975,Positive,
15624893,Positive,
15624893,Positive,
16462803,Positive,
16462803,Positive,
16462803,Positive,
16462803,Positive,
16339586,Positive,8
16339586,Positive,2
16339586,Positive,8
16339586,Positive,8
16339586,Positive,8
16339586,Positive,1
16301664,Positive,
7693974,Positive,
11152496,Positive,1
11152496,Positive,1
11152496,Positive,1
12559624,Positive,
12559624,Positive,
12559624,Positive,
12559624,Positive,
12559624,Positive,
12559624,Positive,
12559624,Positive,
12559624,Positive,
7533182,Positive,16
7533182,Positive,16
7533182,Positive,16
7533182,Positive,16
7539044,Positive,
7539044,Positive,
7539044,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
16301664,Positive,
7643853,Positive,
7643853,Positive,
7643853,Positive,
8794355,Positive,
8794355,Positive,8
8794355,Positive,
8794355,Positive,2
8794355,Positive,2
8794355,Positive,2
8794355,Positive,22
8794355,Positive,22
8794355,Positive,22
8794355,Positive,22
8794355,Positive,22
8794355,Positive,22
8794355,Positive,22
8794355,Positive,22
8794355,Positive,22
8794355,Positive,22
14980436,Positive,4
14980436,Positive,4
14980436,Positive,
14980436,Positive,
12629644,Positive,43
12629644,Positive,
12629644,Positive,32
12629644,Positive,
12629644,Positive,
12629644,Positive,33
12629644,Positive,
12629644,Positive,41
12629644,Positive,31
12629644,Positive,
10447419,Positive,5
10447419,Positive,14
10447419,Positive,5
10447419,Positive,14
10447419,Positive,14
10447419,Positive,5
10447419,Positive,5
10447419,Positive,14
10447419,Positive,14
10447419,Positive,5
10096544,Positive,
10096544,Positive,
10096544,Positive,
10096544,Positive,
10318946,Positive,19
10318946,Positive,20
11819836,Positive,4
11424007,Positive,
11424007,Positive,
15800857,Positive,21
15800857,Positive,23
15800857,Positive,15
15800857,Positive,5
15800857,Positive,5
15800857,Positive,5
11964304,Positive,14
11964304,Positive,
11964304,Positive,
11964304,Positive,
11964304,Positive,
11964304,Positive,
11964304,Positive,
11964304,Positive,
11964304,Positive,
11964304,Positive,
11964304,Positive,5
15800857,Positive,8
15800857,Positive,5
15800857,Positive,5
15800857,Positive,5
15958073,Positive,
15958073,Positive,
15958073,Positive,13
15958073,Positive,13
15958073,Positive,
15958073,Positive,
11270597,Positive,1
11270597,Positive,1
15939790,Positive,1
15939790,Positive,1
15939790,Positive,1
15939790,Positive,1
15939790,Positive,1
15939790,Positive,1
15939790,Positive,1
15939790,Positive,1
15939790,Positive,1
15939790,Positive,1
15939790,Positive,1
15939790,Positive,1
9680137,Positive,
9680137,Positive,
9680137,Positive,
9680137,Positive,
9680137,Positive,
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
9680137,Positive,
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
12691700,Positive,2
11339423,Positive,5
11339423,Positive,5
11270597,Positive,1
11270597,Positive,1
8794355,Positive,
8794355,Positive,
10352286,Positive,1
,Positive,3
,Positive,3
,Positive,1
,Positive,1
,Positive,1
,Positive,5
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,2
,Positive,1
